id;start_date;end_date;language
1;2020-05-16T18:03:00;2020-05-16T15:53:15;SPANISH
2;2020-05-15T22:53:11;2020-05-16T17:57:36;SPANISH
3;2020-05-16T13:48:30;2020-05-16T00:22:39;FRENCH
4;2020-05-16T05:06:01;2020-05-16T16:37:27;FRENCH
5;2020-05-16T14:36:19;2020-05-16T19:23:18;FRENCH
6;2020-05-16T08:28:40;2020-05-16T20:36:54;FRENCH
7;2020-05-16T10:14:00;2020-05-16T04:04:51;FRENCH
8;2020-05-16T09:10:13;2020-05-16T19:26:21;SPANISH
9;2020-05-16T07:51:22;2020-05-16T04:32:45;SPANISH
10;2020-05-16T16:03:26;2020-05-16T02:37:56;SPANISH
